year,month,last,party
2000,May,Clinton,Democrat
2000,Jun,Clinton,Democrat
2000,Jul,Clinton,Democrat
2000,Aug,Clinton,Democrat
2000,Sep,Clinton,Democrat
2000,Oct,Clinton,Democrat
2000,Nov,Clinton,Democrat
2000,Dec,Clinton,Democrat
2001,Jan,G.W. Bush,Republican
2001,Feb,G.W. Bush,Republican
2001,Mar,G.W. Bush,Republican
2001,Apr,G.W. Bush,Republican
2001,May,G.W. Bush,Republican
2001,Jun,G.W. Bush,Republican
2001,Jul,G.W. Bush,Republican
2001,Aug,G.W. Bush,Republican
2001,Sep,G.W. Bush,Republican
2001,Oct,G.W. Bush,Republican
2001,Nov,G.W. Bush,Republican
2001,Dec,G.W. Bush,Republican
2002,Jan,G.W. Bush,Republican
2002,Feb,G.W. Bush,Republican
2002,Mar,G.W. Bush,Republican
2002,Apr,G.W. Bush,Republican
2002,May,G.W. Bush,Republican
2002,Jun,G.W. Bush,Republican
2002,Jul,G.W. Bush,Republican
2002,Aug,G.W. Bush,Republican
2002,Sep,G.W. Bush,Republican
2002,Oct,G.W. Bush,Republican
2002,Nov,G.W. Bush,Republican
2002,Dec,G.W. Bush,Republican
2003,Jan,G.W. Bush,Republican
2003,Feb,G.W. Bush,Republican
2003,Mar,G.W. Bush,Republican
2003,Apr,G.W. Bush,Republican
2003,May,G.W. Bush,Republican
2003,Jun,G.W. Bush,Republican
2003,Jul,G.W. Bush,Republican
2003,Aug,G.W. Bush,Republican
2003,Sep,G.W. Bush,Republican
2003,Oct,G.W. Bush,Republican
2003,Nov,G.W. Bush,Republican
2003,Dec,G.W. Bush,Republican
2004,Jan,G.W. Bush,Republican
2004,Feb,G.W. Bush,Republican
2004,Mar,G.W. Bush,Republican
2004,Apr,G.W. Bush,Republican
2004,May,G.W. Bush,Republican
2004,Jun,G.W. Bush,Republican
2004,Jul,G.W. Bush,Republican
2004,Aug,G.W. Bush,Republican
2004,Sep,G.W. Bush,Republican
2004,Oct,G.W. Bush,Republican
2004,Nov,G.W. Bush,Republican
2004,Dec,G.W. Bush,Republican
2005,Jan,G.W. Bush,Republican
2005,Feb,G.W. Bush,Republican
2005,Mar,G.W. Bush,Republican
2005,Apr,G.W. Bush,Republican
2005,May,G.W. Bush,Republican
2005,Jun,G.W. Bush,Republican
2005,Jul,G.W. Bush,Republican
2005,Aug,G.W. Bush,Republican
2005,Sep,G.W. Bush,Republican
2005,Oct,G.W. Bush,Republican
2005,Nov,G.W. Bush,Republican
2005,Dec,G.W. Bush,Republican
2006,Jan,G.W. Bush,Republican
2006,Feb,G.W. Bush,Republican
2006,Mar,G.W. Bush,Republican
2006,Apr,G.W. Bush,Republican
2006,May,G.W. Bush,Republican
2006,Jun,G.W. Bush,Republican
2006,Jul,G.W. Bush,Republican
